grid.ref,survey
SK43X,0
SK43Y,0
SK43Z,1
SK44R,0
SK44U,0
SK44V,1
SK44X,0
SK44Z,0
SK45Q,0
SK45U,0
SK45V,0
SK45Z,0
SK46Q,0
SK46V,0
SK49W,0
SK52C,0
SK52D,0
SK52J,1
SK52N,0
SK52S,0
SK52Z,0
SK53D,0
SK53G,0
SK53H,1
SK53I,0
SK53J,1
SK53K,0
SK53L,0
SK53M,0
SK53N,0
SK53R,0
SK53T,1
SK53Z,0
SK54B,0
SK54F,0
SK54G,0
SK54J,0
SK54L,0
SK54N,1
SK54Q,1
SK54R,1
SK54T,1
SK54X,1
SK55B,0
SK55D,0
SK55E,0
SK55F,0
SK55G,0
SK55M,1
SK55N,0
SK55V,0
SK55W,0
SK55X,0
SK55Z,0
SK56F,0
SK56H,0
SK56M,0
SK56W,0
SK57Q,0
SK57W,0
SK57Z,1
SK58K,0
SK58Q,0
SK58R,1
SK58T,1
SK58Z,1
SK62Y,0
SK63A,0
SK63B,0
SK63C,0
SK63D,0
SK63E,1
SK63I,0
SK63J,1
SK63M,0
SK63N,0
SK63P,0
SK63V,0
SK63Y,0
SK64A,1
SK64C,1
SK64E,0
SK64F,1
SK64G,0
SK64H,0
SK64L,0
SK64M,1
SK64N,0
SK64R,0
SK64Y,0
SK65C,0
SK65L,0
SK65N,0
SK65R,0
SK65S,0
SK65W,0
SK65Z,1
SK66E,1
SK66G,0
SK66I,0
SK66K,0
SK66M,0
SK66N,0
SK66R,1
SK66T,0
SK66U,0
SK67B,0
SK67E,0
SK67H,0
SK67R,0
SK67W,0
SK68C,1
SK68I,0
SK68P,0
SK68X,1
SK68Z,0
SK69A,1
SK73N,0
SK74A,0
SK74E,0
SK74W,0
SK74Y,0
SK75R,0
SK75W,0
SK75Y,1
SK77D,0
SK77L,0
SK77R,0
SK77S,0
SK77U,1
SK78A,0
SK78I,0
SK78X,0
SK79G,0
SK79H,0
SK79I,1
SK84B,0
SK86A,0
SK86F,0
SK86H,0
SK86I,0
SK87E,0
